day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;34.0;14;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;39.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;49.0;18;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;180.0;4;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;185.0;6;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;190.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;195.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;200.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;286.0;19;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
1/12/2020;296.0;17;macho;macho;1900-01-01T15:14:00.000000000;T10;T171
